Konten,cleaned_text,tokens,stemmed_tokens,stemmed_text
BMKG Akui 'Pencucian' Polusi Udara Masih Sangat Bergantung pada Hujan,bmkg akui pencucian polusi udara masih sangat bergantung pada hujan,"['bmkg', 'akui', 'pencucian', 'polusi', 'udara', 'bergantung', 'hujan']","['bmkg', 'aku', 'cuci', 'polusi', 'udara', 'gantung', 'hujan']",bmkg aku cuci polusi udara gantung hujan
FOTO: Kabut Tebal Mengepung Lahore Pakistan,foto kabut tebal mengepung lahore pakistan,"['foto', 'kabut', 'tebal', 'mengepung', 'lahore', 'pakistan']","['foto', 'kabut', 'tebal', 'kepung', 'lahore', 'pakistan']",foto kabut tebal kepung lahore pakistan
FOTO: Selamat Datang di 'Kota Kabut' New Delhi,foto selamat datang  kota kabut new delhi,"['foto', 'selamat', 'kota', 'kabut', 'new', 'delhi']","['foto', 'selamat', 'kota', 'kabut', 'new', 'delhi']",foto selamat kota kabut new delhi
Polusi Udara Jakarta Kembali Parah  Bisakah Air Purifier Diandalkan?,polusi udara jakarta kembali parah bisakah air purifier diandalkan,"['polusi', 'udara', 'jakarta', 'parah', 'air', 'purifier', 'diandalkan']","['polusi', 'udara', 'jakarta', 'parah', 'air', 'purifier', 'andal']",polusi udara jakarta parah air purifier andal
Jakarta Kota Paling Berpolusi Ketiga di Dunia Pagi Ini,jakarta kota paling berpolusi ketiga  dunia pagi,"['jakarta', 'kota', 'berpolusi', 'ketiga', 'dunia', 'pagi']","['jakarta', 'kota', 'polusi', 'tiga', 'dunia', 'pagi']",jakarta kota polusi tiga dunia pagi
Beda dengan Menteri LHK  Jokowi Akui Asap Karhutla Bisa ke Mana-mana,beda dengan menteri lhk jokowi akui asap karhutla bisa ke manamana,"['beda', 'menteri', 'lhk', 'jokowi', 'akui', 'asap', 'karhutla', 'manamana']","['beda', 'menteri', 'lhk', 'jokowi', 'aku', 'asap', 'karhutla', 'manamana']",beda menteri lhk jokowi aku asap karhutla manamana
VIDEO: Kualitas Udara Jambi Masih Berbahaya Belajar Daring Diperpajang,video kualitas udara jambi masih berbahaya belajar daring diperpajang,"['video', 'kualitas', 'udara', 'jambi', 'berbahaya', 'belajar', 'daring', 'diperpajang']","['video', 'kualitas', 'udara', 'jambi', 'bahaya', 'ajar', 'daring', 'pajang']",video kualitas udara jambi bahaya ajar daring pajang
Palembang Bikin Takluk Kota Juara Dunia Polusi Udara  Cek Sebabnya,palembang bikin takluk kota juara dunia polusi udara cek sebabnya,"['palembang', 'bikin', 'takluk', 'kota', 'juara', 'dunia', 'polusi', 'udara', 'cek']","['palembang', 'bikin', 'takluk', 'kota', 'juara', 'dunia', 'polusi', 'udara', 'cek']",palembang bikin takluk kota juara dunia polusi udara cek
Kualitas Udara Jakarta Pagi Ini Tak Sehat  Terburuk Kedua di Dunia,kualitas udara jakarta pagi  tak sehat terburuk kedua  dunia,"['kualitas', 'udara', 'jakarta', 'pagi', 'sehat', 'terburuk', 'dunia']","['kualitas', 'udara', 'jakarta', 'pagi', 'sehat', 'buruk', 'dunia']",kualitas udara jakarta pagi sehat buruk dunia
Palembang Saingi Jambi Buat Status Udara Terburuk RI,palembang saingi jambi buat status udara terburuk ri,"['palembang', 'saingi', 'jambi', 'status', 'udara', 'terburuk', 'ri']","['palembang', 'saing', 'jambi', 'status', 'udara', 'buruk', 'ri']",palembang saing jambi status udara buruk ri
Minggu Pagi Tadi  Kualitas Udara Jakarta Malah Tidak Sehat,minggu pagi tadi kualitas udara jakarta malah tidak sehat,"['minggu', 'pagi', 'kualitas', 'udara', 'jakarta', 'sehat']","['minggu', 'pagi', 'kualitas', 'udara', 'jakarta', 'sehat']",minggu pagi kualitas udara jakarta sehat
Sempat Membaik 9 Hari  Udara Jakarta Kembali Memburuk,sempat membaik hari udara jakarta kembali memburuk,"['membaik', 'udara', 'jakarta', 'memburuk']","['baik', 'udara', 'jakarta', 'buruk']",baik udara jakarta buruk
Daftar Daerah Penyumbang Polusi Udara ke Jakarta,daftar daerah penyumbang polusi udara ke jakarta,"['daftar', 'daerah', 'penyumbang', 'polusi', 'udara', 'jakarta']","['daftar', 'daerah', 'sumbang', 'polusi', 'udara', 'jakarta']",daftar daerah sumbang polusi udara jakarta
PBB Bongkar Kaitan Krisis Iklim dan Parahnya Polusi Udara,pbb bongkar kaitan krisis iklim  parahnya polusi udara,"['pbb', 'bongkar', 'kaitan', 'krisis', 'iklim', 'parahnya', 'polusi', 'udara']","['pbb', 'bongkar', 'kait', 'krisis', 'iklim', 'parah', 'polusi', 'udara']",pbb bongkar kait krisis iklim parah polusi udara
VIDEO: Cara Memperbaiki Kualitas Udara di Rumah,video cara memperbaiki kualitas udara  rumah,"['video', 'memperbaiki', 'kualitas', 'udara', 'rumah']","['video', 'baik', 'kualitas', 'udara', 'rumah']",video baik kualitas udara rumah
Jakarta Sepi Kendaraan Udara Sama Buruk  Diduga Ada Sumber Polusi Lain,jakarta sepi kendaraan udara sama buruk diduga ada sumber polusi lain,"['jakarta', 'sepi', 'kendaraan', 'udara', 'buruk', 'diduga', 'sumber', 'polusi']","['jakarta', 'sepi', 'kendara', 'udara', 'buruk', 'duga', 'sumber', 'polusi']",jakarta sepi kendara udara buruk duga sumber polusi
Gulkarmat Jaktim Kembali Semprot Jalanan untuk Atasi Polusi Udara,gulkarmat jaktim kembali semprot jalanan untuk atasi polusi udara,"['gulkarmat', 'jaktim', 'semprot', 'jalanan', 'atasi', 'polusi', 'udara']","['gulkarmat', 'jaktim', 'semprot', 'jalan', 'atas', 'polusi', 'udara']",gulkarmat jaktim semprot jalan atas polusi udara
INFOGRAFIS: Polusi Udara Perpendek Umur,infografis polusi udara perpendek umur,"['infografis', 'polusi', 'udara', 'perpendek', 'umur']","['infografis', 'polusi', 'udara', 'pendek', 'umur']",infografis polusi udara pendek umur
Rapat di DPR  Politikus Golkar Keluhkan Kualitas Udara di Ruang Ber-AC,rapat  dpr politikus golkar keluhkan kualitas udara  ruang berac,"['rapat', 'dpr', 'politikus', 'golkar', 'keluhkan', 'kualitas', 'udara', 'ruang', 'berac']","['rapat', 'dpr', 'politikus', 'golkar', 'keluh', 'kualitas', 'udara', 'ruang', 'berac']",rapat dpr politikus golkar keluh kualitas udara ruang berac
Menkes: Kualitas Udara Paling Baik Jam 4-5 Sore  Bukan Pagi Hari,menkes kualitas udara paling baik jam sore bukan pagi hari,"['menkes', 'kualitas', 'udara', 'jam', 'sore', 'pagi']","['menkes', 'kualitas', 'udara', 'jam', 'sore', 'pagi']",menkes kualitas udara jam sore pagi
Menkes Akui Kualitas Udara Jakarta Berbahaya  Tak Penuhi Standar WHO,menkes akui kualitas udara jakarta berbahaya tak penuhi standar who,"['menkes', 'akui', 'kualitas', 'udara', 'jakarta', 'berbahaya', 'penuhi', 'standar', 'who']","['menkes', 'aku', 'kualitas', 'udara', 'jakarta', 'bahaya', 'penuh', 'standar', 'who']",menkes aku kualitas udara jakarta bahaya penuh standar who
BMKG Bongkar Alasan Musim Kemarau Bikin Polusi Udara Makin Brutal,bmkg bongkar alasan musim kemarau bikin polusi udara makin brutal,"['bmkg', 'bongkar', 'alasan', 'musim', 'kemarau', 'bikin', 'polusi', 'udara', 'brutal']","['bmkg', 'bongkar', 'alas', 'musim', 'kemarau', 'bikin', 'polusi', 'udara', 'brutal']",bmkg bongkar alas musim kemarau bikin polusi udara brutal
Deret Kritik Ahli terhadap Semprot Air ke Jalan Buat Tekan Polusi,deret kritik ahli terhadap semprot air ke jalan buat tekan polusi,"['deret', 'kritik', 'ahli', 'semprot', 'air', 'jalan', 'tekan', 'polusi']","['deret', 'kritik', 'ahli', 'semprot', 'air', 'jalan', 'tekan', 'polusi']",deret kritik ahli semprot air jalan tekan polusi
Ahli: Semprot Jalan Pakai Water Canon Bikin Polusi Makin Berbahaya,ahli semprot jalan pakai water canon bikin polusi makin berbahaya,"['ahli', 'semprot', 'jalan', 'pakai', 'water', 'canon', 'bikin', 'polusi', 'berbahaya']","['ahli', 'semprot', 'jalan', 'pakai', 'water', 'canon', 'bikin', 'polusi', 'bahaya']",ahli semprot jalan pakai water canon bikin polusi bahaya
Kenapa Udara di Depok Sangat Tidak Sehat?,kenapa udara  depok sangat tidak sehat,"['udara', 'depok', 'sehat']","['udara', 'depok', 'sehat']",udara depok sehat
Apakah Udara Pagi Lebih Sehat?,apakah udara pagi lebih sehat,"['udara', 'pagi', 'sehat']","['udara', 'pagi', 'sehat']",udara pagi sehat
Daftar Sumber Polusi Udara Jakarta   BMKG Akui Pengaruh Angin,daftar sumber polusi udara jakarta bmkg akui pengaruh angin,"['daftar', 'sumber', 'polusi', 'udara', 'jakarta', 'bmkg', 'akui', 'pengaruh', 'angin']","['daftar', 'sumber', 'polusi', 'udara', 'jakarta', 'bmkg', 'aku', 'pengaruh', 'angin']",daftar sumber polusi udara jakarta bmkg aku pengaruh angin
Pemkot Surabaya Klaim Udara Masih Layak Hirup  Warga Wajib Tanam Pohon,pemkot surabaya klaim udara masih layak hirup warga wajib tanam pohon,"['pemkot', 'surabaya', 'klaim', 'udara', 'layak', 'hirup', 'warga', 'wajib', 'tanam', 'pohon']","['pemkot', 'surabaya', 'klaim', 'udara', 'layak', 'hirup', 'warga', 'wajib', 'tanam', 'pohon']",pemkot surabaya klaim udara layak hirup warga wajib tanam pohon
VIDEO: Pj Gubernur Banten Usul Hujan Buatan Untuk Tangerang Raya,video pj gubernur banten usul hujan buatan untuk tangerang raya,"['video', 'pj', 'gubernur', 'banten', 'usul', 'hujan', 'buatan', 'tangerang', 'raya']","['video', 'pj', 'gubernur', 'banten', 'usul', 'hujan', 'buat', 'tangerang', 'raya']",video pj gubernur banten usul hujan buat tangerang raya
Perdana  RI Pakai Modifikasi Cuaca Buat Kurangi Polusi Udara,perdana ri pakai modifikasi cuaca buat kurangi polusi udara,"['perdana', 'ri', 'pakai', 'modifikasi', 'cuaca', 'kurangi', 'polusi', 'udara']","['perdana', 'ri', 'pakai', 'modifikasi', 'cuaca', 'kurang', 'polusi', 'udara']",perdana ri pakai modifikasi cuaca kurang polusi udara
Mengintip Polusi Udara saat Sebagian ASN Mulai WFH,mengintip polusi udara saat sebagian asn mulai wfh,"['mengintip', 'polusi', 'udara', 'asn', 'wfh']","['intip', 'polusi', 'udara', 'asn', 'wfh']",intip polusi udara asn wfh
Pakar Ungkap Pengaruh Angin dan Hujan Buat Polusi Udara,pakar ungkap pengaruh angin  hujan buat polusi udara,"['pakar', 'pengaruh', 'angin', 'hujan', 'polusi', 'udara']","['pakar', 'pengaruh', 'angin', 'hujan', 'polusi', 'udara']",pakar pengaruh angin hujan polusi udara
VIDEO: Kualitas Udara di Surabaya Layak Hirup,video kualitas udara  surabaya layak hirup,"['video', 'kualitas', 'udara', 'surabaya', 'layak', 'hirup']","['video', 'kualitas', 'udara', 'surabaya', 'layak', 'hirup']",video kualitas udara surabaya layak hirup
Menguji Klaim Persamaan Asap Rokok dengan Polusi Kota,menguji klaim persamaan asap rokok dengan polusi kota,"['menguji', 'klaim', 'persamaan', 'asap', 'rokok', 'polusi', 'kota']","['uji', 'klaim', 'sama', 'asap', 'rokok', 'polusi', 'kota']",uji klaim sama asap rokok polusi kota
Usai Rapat Bareng Luhut  RK Tepis PLTU di Banten Picu Polusi Jakarta,usai rapat bareng luhut rk tepis pltu  banten picu polusi jakarta,"['rapat', 'bareng', 'luhut', 'rk', 'tepis', 'pltu', 'banten', 'picu', 'polusi', 'jakarta']","['rapat', 'bareng', 'luhut', 'rk', 'tepis', 'pltu', 'banten', 'picu', 'polusi', 'jakarta']",rapat bareng luhut rk tepis pltu banten picu polusi jakarta
Daftar Kota Polusi Udara Terburuk di RI Siang Ini  Tangsel Posisi 3,daftar kota polusi udara terburuk  ri siang  tangsel posisi,"['daftar', 'kota', 'polusi', 'udara', 'terburuk', 'ri', 'siang', 'tangsel', 'posisi']","['daftar', 'kota', 'polusi', 'udara', 'buruk', 'ri', 'siang', 'tangsel', 'posisi']",daftar kota polusi udara buruk ri siang tangsel posisi
VIDEO: KLHK Bentuk Satgas Atasi Polusi Udara di Jabodetabek,video klhk bentuk satgas atasi polusi udara  jabodetabek,"['video', 'klhk', 'bentuk', 'satgas', 'atasi', 'polusi', 'udara', 'jabodetabek']","['video', 'klhk', 'bentuk', 'satgas', 'atas', 'polusi', 'udara', 'jabodetabek']",video klhk bentuk satgas atas polusi udara jabodetabek
Data KLHK: Udara Pontianak Berbahaya   'Hitam' Sejak Jam 12.00 WIB,data klhk udara pontianak berbahaya hitam sejak jam wib,"['data', 'klhk', 'udara', 'pontianak', 'berbahaya', 'hitam', 'jam', 'wib']","['data', 'klhk', 'udara', 'pontianak', 'bahaya', 'hitam', 'jam', 'wib']",data klhk udara pontianak bahaya hitam jam wib
5 Sumber Polusi Udara Jakarta Kata Ahli dan Pejabat,sumber polusi udara jakarta kata ahli  pejabat,"['sumber', 'polusi', 'udara', 'jakarta', 'ahli', 'pejabat']","['sumber', 'polusi', 'udara', 'jakarta', 'ahli', 'jabat']",sumber polusi udara jakarta ahli jabat
Bandung Lautan Polusi  Waspada Sebaran Wilayah 'Merah',bandung lautan polusi waspada sebaran wilayah merah,"['bandung', 'lautan', 'polusi', 'waspada', 'sebaran', 'wilayah', 'merah']","['bandung', 'laut', 'polusi', 'waspada', 'sebar', 'wilayah', 'merah']",bandung laut polusi waspada sebar wilayah merah
VIDEO: Kualitas Udara Pontianak Buruk,video kualitas udara pontianak buruk,"['video', 'kualitas', 'udara', 'pontianak', 'buruk']","['video', 'kualitas', 'udara', 'pontianak', 'buruk']",video kualitas udara pontianak buruk
VIDEO: Waspada ISPA Imbas Buruk Kualitas Udara,video waspada ispa imbas buruk kualitas udara,"['video', 'waspada', 'ispa', 'imbas', 'buruk', 'kualitas', 'udara']","['video', 'waspada', 'ispa', 'imbas', 'buruk', 'kualitas', 'udara']",video waspada ispa imbas buruk kualitas udara
FOTO: Langit Kelam Jakarta Dikepung Polusi Udara,foto langit kelam jakarta dikepung polusi udara,"['foto', 'langit', 'kelam', 'jakarta', 'dikepung', 'polusi', 'udara']","['foto', 'langit', 'kelam', 'jakarta', 'kepung', 'polusi', 'udara']",foto langit kelam jakarta kepung polusi udara
7 Negara Paling Terkungkung 'Racun' Polusi Udara,negara paling terkungkung racun polusi udara,"['negara', 'terkungkung', 'racun', 'polusi', 'udara']","['negara', 'kungkung', 'racun', 'polusi', 'udara']",negara kungkung racun polusi udara
Kenapa Kualitas Udara di Kalbar Kian Memburuk?,kenapa kualitas udara  kalbar kian memburuk,"['kualitas', 'udara', 'kalbar', 'kian', 'memburuk']","['kualitas', 'udara', 'kalbar', 'kian', 'buruk']",kualitas udara kalbar kian buruk
VIDEO: Jokowi Ungkap Penyebab Jabodetabek Dikepung Polusi,video jokowi ungkap penyebab jabodetabek dikepung polusi,"['video', 'jokowi', 'penyebab', 'jabodetabek', 'dikepung', 'polusi']","['video', 'jokowi', 'sebab', 'jabodetabek', 'kepung', 'polusi']",video jokowi sebab jabodetabek kepung polusi
5 Kota dengan Udara Paling Bersih di Dunia,kota dengan udara paling bersih  dunia,"['kota', 'udara', 'bersih', 'dunia']","['kota', 'udara', 'bersih', 'dunia']",kota udara bersih dunia
4 Kota di Dunia yang Punya Jurus Jitu Kurangi Polusi Udara,kota  dunia  punya jurus jitu kurangi polusi udara,"['kota', 'dunia', 'jurus', 'jitu', 'kurangi', 'polusi', 'udara']","['kota', 'dunia', 'jurus', 'jitu', 'kurang', 'polusi', 'udara']",kota dunia jurus jitu kurang polusi udara
Penyebab Polusi Jakarta Kata Peneliti BRIN Peraih Bintang dari Jokowi,penyebab polusi jakarta kata peneliti brin peraih bintang dari jokowi,"['penyebab', 'polusi', 'jakarta', 'peneliti', 'brin', 'peraih', 'bintang', 'jokowi']","['sebab', 'polusi', 'jakarta', 'teliti', 'brin', 'raih', 'bintang', 'jokowi']",sebab polusi jakarta teliti brin raih bintang jokowi
VIDEO: Kualitas Udara Memburuk Akibat Karhutla,video kualitas udara memburuk akibat karhutla,"['video', 'kualitas', 'udara', 'memburuk', 'akibat', 'karhutla']","['video', 'kualitas', 'udara', 'buruk', 'akibat', 'karhutla']",video kualitas udara buruk akibat karhutla
Polusi Udara Sedang 'Brutal'  100 Persen Aman Jika di Rumah Saja?,polusi udara sedang brutal persen aman jika  rumah saja,"['polusi', 'udara', 'brutal', 'persen', 'aman', 'rumah']","['polusi', 'udara', 'brutal', 'persen', 'aman', 'rumah']",polusi udara brutal persen aman rumah
Udara Tangsel Buruk  LSM Sentil Banten Tak Punya Inventarisasi Emisi,udara tangsel buruk lsm sentil banten tak punya inventarisasi emisi,"['udara', 'tangsel', 'buruk', 'lsm', 'sentil', 'banten', 'inventarisasi', 'emisi']","['udara', 'tangsel', 'buruk', 'lsm', 'sentil', 'banten', 'inventarisasi', 'emisi']",udara tangsel buruk lsm sentil banten inventarisasi emisi
VIDEO: Kendaraan Tak Lolos Uji Emisi Dikenakan Tarif Parkir Tinggi,video kendaraan tak lolos uji emisi dikenakan tarif parkir tinggi,"['video', 'kendaraan', 'lolos', 'uji', 'emisi', 'dikenakan', 'tarif', 'parkir']","['video', 'kendara', 'lolos', 'uji', 'emisi', 'kena', 'tarif', 'parkir']",video kendara lolos uji emisi kena tarif parkir
Kualitas Udara di Tangsel Tak Sehat pada Sabtu,kualitas udara  tangsel tak sehat pada sabtu,"['kualitas', 'udara', 'tangsel', 'sehat', 'sabtu']","['kualitas', 'udara', 'tangsel', 'sehat', 'sabtu']",kualitas udara tangsel sehat sabtu
VIDEO: Kualitas Udara Ibu Kota Buruk  Warga Terpuruk,video kualitas udara ibu kota buruk warga terpuruk,"['video', 'kualitas', 'udara', 'kota', 'buruk', 'warga', 'terpuruk']","['video', 'kualitas', 'udara', 'kota', 'buruk', 'warga', 'puruk']",video kualitas udara kota buruk warga puruk
VIDEO: Kualitas Udara Jakarta Memburuk,video kualitas udara jakarta memburuk,"['video', 'kualitas', 'udara', 'jakarta', 'memburuk']","['video', 'kualitas', 'udara', 'jakarta', 'buruk']",video kualitas udara jakarta buruk
VIDEO: Udara Jakarta Buruk  Heru Budi: 50% Penyumbangnya Transportasi,video udara jakarta buruk heru budi penyumbangnya transportasi,"['video', 'udara', 'jakarta', 'buruk', 'heru', 'budi', 'penyumbangnya', 'transportasi']","['video', 'udara', 'jakarta', 'buruk', 'heru', 'budi', 'sumbang', 'transportasi']",video udara jakarta buruk heru budi sumbang transportasi
Pj Gubernur DKI Sebut Polusi Udara Harus Diatasi Bersama-sama,pj gubernur dki sebut polusi udara harus diatasi bersamasama,"['pj', 'gubernur', 'dki', 'polusi', 'udara', 'diatasi', 'bersamasama']","['pj', 'gubernur', 'dki', 'polusi', 'udara', 'atas', 'bersamasama']",pj gubernur dki polusi udara atas bersamasama
Pemkot Tangsel Klaim Kualitas Udara Kondusif  Pengukuran di BSD,pemkot tangsel klaim kualitas udara kondusif pengukuran  bsd,"['pemkot', 'tangsel', 'klaim', 'kualitas', 'udara', 'kondusif', 'pengukuran', 'bsd']","['pemkot', 'tangsel', 'klaim', 'kualitas', 'udara', 'kondusif', 'ukur', 'bsd']",pemkot tangsel klaim kualitas udara kondusif ukur bsd
Dampak Kesehatan Polusi Udara  Bisa Pulih Cepat atau Bertahan Lama?,dampak kesehatan polusi udara bisa pulih cepat atau bertahan lama,"['dampak', 'kesehatan', 'polusi', 'udara', 'pulih', 'cepat', 'bertahan']","['dampak', 'sehat', 'polusi', 'udara', 'pulih', 'cepat', 'tahan']",dampak sehat polusi udara pulih cepat tahan
Polusi Tangsel Jadi Juara Nasional Pagi ini  Kategori Tak Sehat,polusi tangsel jadi juara nasional pagi  kategori tak sehat,"['polusi', 'tangsel', 'juara', 'nasional', 'pagi', 'kategori', 'sehat']","['polusi', 'tangsel', 'juara', 'nasional', 'pagi', 'kategori', 'sehat']",polusi tangsel juara nasional pagi kategori sehat
Cerita Pakar soal Buruknya Udara di Kota Besar RI  El Nino Tersindir,cerita pakar soal buruknya udara  kota besar ri el nino tersindir,"['cerita', 'pakar', 'buruknya', 'udara', 'kota', 'ri', 'el', 'nino', 'tersindir']","['cerita', 'pakar', 'buruk', 'udara', 'kota', 'ri', 'el', 'nino', 'sindir']",cerita pakar buruk udara kota ri el nino sindir
Jokowi soal Udara Buruk DKI: Solusinya Geser Sebagian Beban ke IKN,jokowi soal udara buruk dki solusinya geser sebagian beban ke ikn,"['jokowi', 'udara', 'buruk', 'dki', 'solusinya', 'geser', 'beban', 'ikn']","['jokowi', 'udara', 'buruk', 'dki', 'solusi', 'geser', 'beban', 'ikn']",jokowi udara buruk dki solusi geser beban ikn
VIDEO: Dinas LH Sebut Udara di Jakarta Sedang Tidak Sehat,video dinas lh sebut udara  jakarta sedang tidak sehat,"['video', 'dinas', 'lh', 'udara', 'jakarta', 'sehat']","['video', 'dinas', 'lh', 'udara', 'jakarta', 'sehat']",video dinas lh udara jakarta sehat
FOTO: Melihat Jejak Udara di Ibu Kota,foto melihat jejak udara  ibu kota,"['foto', 'jejak', 'udara', 'kota']","['foto', 'jejak', 'udara', 'kota']",foto jejak udara kota
VIDEO: Alat dan Sensor Pemantau Kualitas Udara Jakarta,video alat  sensor pemantau kualitas udara jakarta,"['video', 'alat', 'sensor', 'pemantau', 'kualitas', 'udara', 'jakarta']","['video', 'alat', 'sensor', 'pantau', 'kualitas', 'udara', 'jakarta']",video alat sensor pantau kualitas udara jakarta
Berita Kualitas Udara - Pengaturan sirkulasi udara di dalam sebuah rumah sangat penting dilakukan untuk mengurangi masalah kelembaban serta bau tak sedap ...,berita kualitas udara pengaturan sirkulasi udara  dalam sebuah rumah sangat penting dilakukan untuk mengurangi masalah kelembaban serta bau tak sedap,"['berita', 'kualitas', 'udara', 'pengaturan', 'sirkulasi', 'udara', 'rumah', 'mengurangi', 'kelembaban', 'bau', 'sedap']","['berita', 'kualitas', 'udara', 'atur', 'sirkulasi', 'udara', 'rumah', 'kurang', 'kelembaban', 'bau', 'sedap']",berita kualitas udara atur sirkulasi udara rumah kurang kelembaban bau sedap
"Presiden Jokowi meyakini bahwa kualitas udara di IKN baik, dibandingkan dengan kualitas udara di wilayah lain.",presiden jokowi meyakini bahwa kualitas udara  ikn baik dibandingkan dengan kualitas udara  wilayah lain,"['presiden', 'jokowi', 'kualitas', 'udara', 'ikn', 'dibandingkan', 'kualitas', 'udara', 'wilayah']","['presiden', 'jokowi', 'kualitas', 'udara', 'ikn', 'banding', 'kualitas', 'udara', 'wilayah']",presiden jokowi kualitas udara ikn banding kualitas udara wilayah
. Presiden Joko Widodo membandingkan indeks kualitas udara di Jakarta dengan kondisi di Ibu Kota Nusantara (IKN).,presiden joko widodo membandingkan indeks kualitas udara  jakarta dengan kondisi  ibu kota nusantara ikn,"['presiden', 'joko', 'widodo', 'membandingkan', 'indeks', 'kualitas', 'udara', 'jakarta', 'kondisi', 'kota', 'nusantara', 'ikn']","['presiden', 'joko', 'widodo', 'banding', 'indeks', 'kualitas', 'udara', 'jakarta', 'kondisi', 'kota', 'nusantara', 'ikn']",presiden joko widodo banding indeks kualitas udara jakarta kondisi kota nusantara ikn
"Dari keempat belas kota tersebut, kota Tangerang Selatan, Bandung Raya, Tangerang, Bogor, Bekasi, Depok, DKI Jakarta, Semarang, dan Surabaya ...",dari keempat belas kota tersebut kota tangerang selatan bandung raya tangerang bogor bekasi depok dki jakarta semarang  surabaya,"['keempat', 'belas', 'kota', 'kota', 'tangerang', 'selatan', 'bandung', 'raya', 'tangerang', 'bogor', 'bekasi', 'depok', 'dki', 'jakarta', 'semarang', 'surabaya']","['empat', 'belas', 'kota', 'kota', 'tangerang', 'selatan', 'bandung', 'raya', 'tangerang', 'bogor', 'bekas', 'depok', 'dki', 'jakarta', 'semarang', 'surabaya']",empat belas kota kota tangerang selatan bandung raya tangerang bogor bekas depok dki jakarta semarang surabaya
"Menparekraf Sandiaga Uno mengatakan, berlibur ke daerah dengan kualitas udara baik dapat membersihkan paru-paru. Bagaimana faktanya?",menparekraf sandiaga uno mengatakan berlibur ke daerah dengan kualitas udara baik dapat membersihkan paruparu bagaimana faktanya,"['menparekraf', 'sandiaga', 'uno', 'berlibur', 'daerah', 'kualitas', 'udara', 'membersihkan', 'paruparu', 'faktanya']","['menparekraf', 'sandiaga', 'uno', 'libur', 'daerah', 'kualitas', 'udara', 'bersih', 'paruparu', 'fakta']",menparekraf sandiaga uno libur daerah kualitas udara bersih paruparu fakta
"Presiden Jokowi meyakini bahwa kualitas udara di IKN baik, dibandingkan dengan kualitas udara di wilayah lain.",presiden jokowi meyakini bahwa kualitas udara  ikn baik dibandingkan dengan kualitas udara  wilayah lain,"['presiden', 'jokowi', 'kualitas', 'udara', 'ikn', 'dibandingkan', 'kualitas', 'udara', 'wilayah']","['presiden', 'jokowi', 'kualitas', 'udara', 'ikn', 'banding', 'kualitas', 'udara', 'wilayah']",presiden jokowi kualitas udara ikn banding kualitas udara wilayah
"Adapun konsentrasi polutan tertinggi dalam udara DKI Jakarta siang hari ini yakni PM 2.5, dengan nilai konsentrasi 22 mikrogram per meter kubik.",adapun konsentrasi polutan tertinggi dalam udara dki jakarta siang hari  yakni pm dengan nilai konsentrasi mikrogram per meter kubik,"['konsentrasi', 'polutan', 'tertinggi', 'udara', 'dki', 'jakarta', 'siang', 'pm', 'nilai', 'konsentrasi', 'mikrogram', 'meter', 'kubik']","['konsentrasi', 'polutan', 'tinggi', 'udara', 'dki', 'jakarta', 'siang', 'pm', 'nilai', 'konsentrasi', 'mikrogram', 'meter', 'kubik']",konsentrasi polutan tinggi udara dki jakarta siang pm nilai konsentrasi mikrogram meter kubik
"Berdasarkan situs pemantau kualitas udara IQAir, Senin (24/6/2024) pukul 15.00 WIB, Jakarta menempati posisi kelima kota dengan kualitas udara ...",berdasarkan situs pemantau kualitas udara iqair senin pukul wib jakarta menempati posisi kelima kota dengan kualitas udara,"['berdasarkan', 'situs', 'pemantau', 'kualitas', 'udara', 'iqair', 'senin', 'wib', 'jakarta', 'menempati', 'posisi', 'kota', 'kualitas', 'udara']","['dasar', 'situs', 'pantau', 'kualitas', 'udara', 'iqair', 'senin', 'wib', 'jakarta', 'tempat', 'posisi', 'kota', 'kualitas', 'udara']",dasar situs pantau kualitas udara iqair senin wib jakarta tempat posisi kota kualitas udara
". Selain upaya pemerintah, kata Zita, dibutuhkan partisipasi warga Jakarta untuk menunjang pelaksanaan berbagai program tersebut. Pasalnya, polusi ...",selain upaya pemerintah kata zita dibutuhkan partisipasi warga jakarta untuk menunjang pelaksanaan berbagai program tersebut pasalnya polusi,"['upaya', 'pemerintah', 'zita', 'dibutuhkan', 'partisipasi', 'warga', 'jakarta', 'menunjang', 'pelaksanaan', 'program', 'pasalnya', 'polusi']","['upaya', 'perintah', 'zita', 'butuh', 'partisipasi', 'warga', 'jakarta', 'tunjang', 'laksana', 'program', 'pasal', 'polusi']",upaya perintah zita butuh partisipasi warga jakarta tunjang laksana program pasal polusi
"Kualitas udara di DKI Jakarta pada Jumat (21/6/2024) pagi termasuk dalam kategori tidak sehat, meski indeksnya menurun.",kualitas udara  dki jakarta pada jumat pagi termasuk dalam kategori tidak sehat meski indeksnya menurun,"['kualitas', 'udara', 'dki', 'jakarta', 'jumat', 'pagi', 'kategori', 'sehat', 'indeksnya', 'menurun']","['kualitas', 'udara', 'dki', 'jakarta', 'jumat', 'pagi', 'kategori', 'sehat', 'indeks', 'turun']",kualitas udara dki jakarta jumat pagi kategori sehat indeks turun
